sectionNumber,title,label,remark
1,Introduction,,
2,Related Work,,
2.1,Information Graphics,,
2.2,Natural Language Interactions,,
2.3,Auto-Generated Data Visualizations,,
2.4,Infographic Authoring Tools,,
3,Preliminary Survey of Infographics,,
4,Proportion-Related Information,,
5,Text-to-Viz Implementation,,
5.1,Text Analyzer,,
5.2,Visual Generator,Recommend[Encoding][Opt],"In this system, we consider three scores, namely semantic, visual, and informative"
6,Evaluation,,
6.1,Sample Infographics,,
6.2,Casual User Interview in Exhibits,,
6.3,Expert Interview,,
7,Discussion,,
7.1,Automatic Generation of Infographics,,
7.2,Opportunities for New Usage,,
7.3,Failure Cases and Limitations,,
8,Conclusion and Future Work,,
