sectionNumber,title,label,remark
1,Introduction,,
2,RELATED WORK
2.1,Information Steganography
2.2,Image Steganography
2.3,Retargeting of Information Visualization
3,OVERVIEW
4,METHODS
4.1,Dataset
4.2,Visual Importance Map,Assess[Score][ML],"to obtain more accurate high-level semantic con- text information and low-level details, we use a hybrid training loss"
4.3,Encoder and Decoder,Feature[Learning][Graphics]|Transformation[G2G]
4.4,Large-Scale Data Embedding
5,APPLICATIONS
5.1,Metadata Embedding of Visualization Design
5.2,Source Code Embedding in a Visualization
5.3,Visualization Retargeting
6,EVALUATION,
6.1,Steganography Indices
6.2,Steganography Defense
6.3,Time Performance
7,CONCLUSION
