sectionNumber,title,label,remark
1,Introduction,,
2,Related Work
2.1,Modeling Visualization Similarity
2.2,Supporting Collaborative Visual Analysis and Handoff
2.3,The Rise of Data Science Notebooks
3,Task Analysis
4,Constellations: Heuristics and System Design
4.1,"Transforming Visualizations into Constellations",Compare[Hybrid][Hybrid],"how do we determine its similarity with other charts in a corpus?"
4.1.1,Chart Encoding Distance,Compare[Program][Difference]
4.1.2,Keyword Tagging Distance,Compare[Text][Distance]
4.1.3,Dimensional Intersection Distance,Compare[Data][Distance]
4.1.4,Aggregate Pairwise Distance,Compare[Hybrid][Hybrid]
4.2,System Components in Constellations,Mine[Data][VA],"{Cluster analysis of charts}"
5,Case Scenario: Major Tom Among the Stars
6,Comparative User Study
7,Discussion
8,Conclusion
9,Acknowledgement
